clients,tilodon_sexfasciatus,siphonognathus_beddomei,cochleoceps_bicolor,austrolabrus_maculatus,enoplosus_armatus,periclimenes_aesopius
acanthaluteres_brownii,0,1,1,0,0,0
achoerodus_gouldii,4,0,4,3,3,0
cheilodactylus_nigripes,5,2,6,0,0,0
dactylophora_nigricans,1,0,2,1,0,0
enoplosus_armatus,1,0,0,0,0,0
girella_zebra,56,16,3,1,0,0
kyphosus_sydneyanus,1,0,0,0,0,0
notolabrus_tetricus,8,3,0,0,0,0
odax_acroptilus,0,3,0,0,0,0
ophthalmolepis_lineolata,0,1,0,0,0,0
othos_dentex,0,0,3,0,0,0
paraplesiops_meleagris,0,0,3,0,0,0
paristiopterus_gallipavo,0,0,1,0,0,0
parma_victoriae,0,0,1,0,0,0
pempheris_multiradiata,0,0,1,0,0,0
pentaceropsis_recurvirostris,0,0,1,0,0,0
phycodurus_eques,1,1,0,1,0,1
pictilabrus_laticlavius,0,1,0,0,0,0
tilodon_sexfasciatus,1,0,0,0,0,0
upeneichthys_vlamingii,0,1,1,1,0,0
