clients,bodianus_insularis,pomacanthus_paru,chaetodon_sanctaehelenae,thalassoma_ascensionis,lysmata_grabhami
aulostomus_strigosus,0,3,0,0,0
melichthys_niger,0,0,1,2,0
caranx_lugubris,1,1,1,0,0
epinephelus_adscensionis,2,1,0,0,0
paranthias_furcifer,0,2,0,0,0
kyphosus_sectatrix,0,2,1,0,0
holocentrus_adscensionis,2,1,0,1,0
myripristis_jacobus,6,2,1,0,0
pomacanthus_paru,1,0,0,0,0
aluterus_scriptus,0,2,0,0,0
mulloidichthys_martinicus,0,2,3,0,0
enchelycore_nigricans,0,0,0,0,2
channomuraena_vittata,0,0,0,0,1
gymnothorax_moringa,2,2,0,1,1
gymnothorax_unicolor,1,0,0,0,3
muraena_pavonina,1,0,0,1,0
chromis_multilineata,6,0,0,0,2
chelonia_mydas,1,0,0,0,0
