clients,elacatinus_spp,bodianus_rufus,thalassoma_bifasciatum,pomacanthus_paru,ancylomenes_pedersoni,stenopus_hispidus
acanthurus_bahianus,1,0,0,0,0,0
acanthurus_chirurgus,2,0,0,0,4,0
acanthurus_coeruleus,17,6,5,1,15,0
aulostomus_maculatus,2,0,0,0,0,0
cantherhines_macrocerus,2,0,0,0,0,0
cantherhines_spp,1,0,0,0,0,0
melichthys_niger,0,1,0,0,0,0
carangoides_ruber,1,8,2,0,0,0
carangoides_spp,0,2,0,0,0,0
chaetodon_spp,1,0,0,0,0,0
anisotremus_surinamensis,1,0,0,0,0,0
gen_spp1,0,0,0,0,1,0
haemulon_flavolineatum,6,0,0,0,0,0
haemulon_sciurus,2,0,1,0,1,0
holocentrus_spp,2,0,0,0,0,0
myripristis_jacobus,2,0,0,0,0,0
bodianus_rufus,1,0,1,0,0,0
clepticus_parrai,8,9,4,0,2,0
gen_spp2,1,0,0,0,1,1
lutjanus_mahogoni,1,0,0,0,0,0
lutjanus_apodus,1,0,0,0,1,0
ocyurus_chrysurus,3,4,1,0,2,0
mulloidichthys_martinicus,1,0,1,0,2,0
pseudopeneus_maculatus,0,0,0,0,1,0
gymnothorax_moringa,9,1,1,0,1,0
holacanthus_ciliaris,1,0,0,0,1,0
chromis_cyanea,9,6,3,0,0,0
chromis_multilineata,43,22,20,0,10,1
stegastes_partitus,1,0,0,0,0,0
gen_spp3,17,2,9,0,12,0
scarus_coelestinus,1,0,0,0,0,0
scarus_vetula,3,0,1,0,1,0
sparisoma_viride,23,0,1,0,9,0
sparisoma_aurofrenatum,0,0,0,0,2,0
cephalopholis_fulva,7,0,1,0,4,1
epinephelus_adsencsionis,2,0,0,0,2,0
epinephelus_cruentatus,12,0,0,0,12,0
epinephelus_guttatus,1,0,0,0,0,0
epinephelus_spp,15,0,0,0,1,0
gen_spp4,0,3,1,0,16,7
mycteroperca_tigris,9,4,2,0,1,0
paranthias_furcifer,1,0,0,0,1,0
rypticus_saponaceus,1,0,0,0,1,0
serranus_tigrinus,0,0,0,0,1,0
calamus_spp,1,0,0,0,0,0
sphyraena_barracuda,3,0,0,0,0,0
synodus_spp,0,0,0,1,0,0
canthigaster_rostrata,1,0,0,0,1,0
diodon_holocanthus,0,0,0,0,2,0
