clients,bodianus_diplotaenia,johnrandallia_nigrirostris,thalassoma_lucasanum,tigrigobius_nesiotes,holacanthus_passer
haemulon_maculicauda,4,50,3,0,19
johnrandallia_nigrirostris,0,0,52,2,1
holacanthus_passer,6,27,9,0,0
cephalopholis_panamensis,4,5,0,29,0
paranthias_colonus,18,0,12,1,1
chromis_atrilobata,10,0,22,0,0
epinephelus_labriformis,1,3,2,24,0
mulloidichthys_dentatus,2,26,0,0,0
scarus_ghobban,2,0,17,1,0
lutjanus_argentiventris,3,5,8,2,0
acanthurus_xanthopterus,3,4,1,4,5
abudefduf_troschelli,4,3,5,4,0
myripristis_berndti,1,11,1,2,0
scarus_rubroviolaceus,2,0,1,9,0
shyraena_spp,8,1,0,0,0
arothron_hispidus,0,0,1,7,0
myripristis_leiognathus,1,5,0,0,1
stegastes_acapulcoensis,0,0,5,0,0
lutjanus_inernis,3,1,0,0,0
sargocentrum_suborbitalis,1,3,0,0,0
suflamen_verres,0,1,2,0,0
novacullichtys_taeniourus,0,1,0,2,0
gymnothorax_spp,1,0,0,1,0
ophioblennius_steindachneri,0,0,3,0,0
lutjanus_novemfasciatus,2,0,0,0,0
gymnothorax_castaneus,0,0,0,2,0
gymnothorax_flavimarginatus,0,0,0,1,0
halichoeres_nicholsi,1,0,0,0,0
pomacanthus_zonipectus,0,1,1,0,0
arothron_meleagris,0,0,0,0,0
thalassoma_gramaticum,1,0,0,0,0
lutjanus_viridis,1,0,0,0,0
