clients,labroides_dimidiatus,bodianus_axillaris,thalassoma_lunare,coris_batuensis,halichoeres_melanurus,ancylomenes_holthuisi,urocaridella_a,urocaridella_b
abudebduf_bengalensis,1,0,0,0,0,0,0,0
acanthochromis_polyacanthus,1,0,0,0,0,0,0,0
acanthurus_nigricauda,1,0,0,0,0,0,0,0
amblygliphidodon_curacao,1,0,0,0,0,0,1,1
amphiprion_akindynos,1,0,0,0,0,3,0,0
apogon_compressus,1,1,0,0,0,0,0,0
apogon_cyanosoma,1,1,0,0,0,0,0,0
apogon_doederleini,1,0,0,0,0,0,0,0
apogon_fragilis,1,0,0,0,0,0,0,0
apogon_taeniophorus,0,0,0,0,0,0,0,1
archamia_fucata,1,0,0,0,0,0,0,1
archamia_zosterophora,0,0,0,0,0,0,0,1
balistapusundulatus,0,0,0,0,0,0,0,1
caesio_caerulaurea,1,0,0,0,0,0,0,0
caesio_cunning,1,0,0,0,0,0,0,0
caesionid_juv,1,0,0,0,0,0,0,0
carangoides_sp,1,0,0,0,0,0,0,0
cboenak,0,0,0,0,0,0,0,2
ccyanostigma,0,0,0,0,0,0,1,5
cephalopholis microprion,0,0,0,0,0,0,1,7
cephalopholis_argus,0,0,0,0,0,0,0,1
cephalopholis_boenak,1,0,0,0,0,0,0,0
cephalopholis_cyanostigma,1,0,0,0,0,0,0,0
cetoscarus_bicolor,1,0,0,0,0,0,0,0
chaetodon_aureofasciatus,1,0,0,0,0,0,0,0
chaetodon_auriga,1,0,0,0,0,0,0,0
chaetodon_baronessa,1,0,0,0,0,0,0,0
chaetodon_ephippium,1,0,0,0,0,0,0,0
chaetodon_trifasciatus,1,0,0,0,0,0,0,0
chaetodon_ulietensis,1,0,0,0,0,0,0,0
chaetodon_vagabundis,1,0,0,0,0,0,0,0
cheilodipterus_artus,1,0,0,0,0,0,0,0
cheilodipterus_quinquelineatus,1,0,0,0,0,0,0,0
choerodon_schoenleinii,1,0,0,0,0,0,0,0
chromis_agilis,0,0,0,0,0,2,0,0
chromis_caudalis,0,0,0,0,0,1,0,0
chromis_lineata,0,0,0,0,0,0,1,1
chromis_trimaculatus,0,0,0,0,0,1,0,0
chromis_viridis,1,0,0,0,0,0,0,0
chrysiptera_rollandi,1,0,0,0,0,0,2,3
coris_schroederi,1,2,0,0,0,0,0,0
ctenochaetus_binotatus,1,0,0,0,0,0,0,0
ctenochaetus_striatus,1,0,0,0,0,1,0,1
ctenochaetus_tominiensis,0,0,0,0,0,0,1,7
dascyllus_aruanus,0,0,1,0,0,0,0,0
dascyllus_trimaculatus,0,0,0,0,0,3,0,0
diagramma_pictum,1,0,0,0,0,0,0,0
dischistodus_perspicillatus,1,0,0,0,0,0,0,0
ecsenius_bicolor,1,0,0,0,0,0,0,0
ecsenius_tailbk,1,0,0,0,0,0,0,0
halichoeres_melanurus,1,0,0,0,0,0,0,0
halichoeres_purpurescens,0,0,0,0,0,0,1,1
hemigymnus_melapterus,1,0,0,0,0,0,0,0
heniochus_monoceros,0,0,0,0,0,0,0,1
labroides_dimidiatus,1,0,0,0,0,0,0,0
lethrinus_harak,1,0,0,0,0,0,0,0
lethrinus_spp,1,0,0,0,0,0,0,0
lutjanus fulvus,1,0,0,0,0,0,0,0
lutjanus_bohar,1,0,0,0,0,0,0,0
lutjanus_carponotatus,1,0,0,0,0,0,0,0
monotaxis grandoculis,1,0,0,0,0,0,0,0
myripristis_adusta,1,0,0,0,0,0,0,0
myripristis_murdjan,0,0,0,0,0,0,0,2
myripristis_sp,0,0,0,0,0,0,0,6
nebrius_ferrugineus,0,1,0,0,0,0,0,0
neoglyphidodon_melas,1,0,0,0,0,0,0,0
neopomacenrus_azysron,1,0,0,0,0,0,0,0
neopomacentrus_cyanomos,1,0,0,0,0,0,1,2
oxycheilinus_sp,0,0,0,0,0,2,0,0
parupeneus_barberinus,1,0,0,0,0,0,0,0
