client_species,johnrandallia_nigrirostris,bodianus_diplotaenia,holacanthus_passer,thalassoma_lucasanum,lepidonectes_bimaculata
acanthurus_xanthopterus,0,6,0,3,0
prionurus_laticlavius,1,0,0,0,0
carcharhinus_falciformis,2,1,1,0,0
carcharhinus_galapagensis,0,0,1,0,0
canthidermis_maculate,2,9,0,0,0
seriola_rivoliana,0,3,2,0,0
epinephelus_labriformis,0,0,0,0,14
dermatolepis_dermatolepis,5,0,4,0,0
paranthias_colonus,3,1,0,0,0
mycteroperca_olfax,0,1,0,0,0
kyphosus_vaigiensis,3,1,1,0,0
kyphosus_ocyurus,17,0,1,0,0
scarus_rubroviolaceus,1,0,0,0,0
lutjanus_jordani,27,0,0,0,0
lutjanus_viridis,4,1,0,0,0
aetobatus_narinari,1,0,0,0,0
rhincodon_typus,0,0,1,0,0
sphyrna_lewini,0,0,1,0,0
zanclus_cornutus,0,0,0,2,0
