client,symphodus_melanocercus,symphodus_mediterraneus,symphodus_ocellatus,symphodus_tinca,coris_julis,ctenolabrus_rupestris
symphodus_tinca,1,1,0,0,1,0
diplodus_sargus,1,0,1,0,1,0
chromis_chromis,1,0,1,1,1,0
coris_julis,1,1,0,1,0,0
serranus_cavrilla,1,0,1,0,0,0
symphodus_mediterraneus,1,1,0,0,0,0
oblada_melanura,1,1,0,1,0,0
mullus_surmuletus,1,1,0,0,0,1
apogon_imberbis,1,1,1,1,0,0
symphodus_ocellatus,1,0,0,0,1,0
serranus_scriba,1,0,1,0,0,1
symphodus_rostratus,1,0,1,1,0,0
diplodus_vulgaris,1,1,0,0,0,0
diplodus_cervina,1,1,1,1,0,0
symphodus_melanocercus,1,1,0,0,1,0
labrus_merula,1,0,1,0,0,1
sarpa_salpa,1,0,0,0,1,0
maena_maena,1,1,1,0,1,0
diplodus_puntazzo,1,1,1,1,1,1
