clients,elacatinus_phthirophagus,thalassoma_noronhanum,pomacanthus_paru,bodianus_pulchellus,halichoeres_radiatus,stegastes_rocasensis,abudefduf_saxatilis
acanthurus_bahianus,0,2,5,0,0,0,0
acanthurus_chirurgus,2,24,1,0,0,0,0
acanthurus_coeruleus,4,132,1,0,0,0,0
melichthys_niger,0,43,0,0,0,0,0
carangoides_bartholomaei,19,0,0,2,0,0,0
chaetodon_ocellatus,14,0,0,0,0,0,0
anisotremus_surinamensis,108,4,2,0,0,0,0
haemulon_chrysargyreum,102,4,1,0,0,0,0
haemulon_parra,8,4,0,0,0,0,0
holocentrus_adscensionis,12,5,0,0,0,0,0
myripristis_jacobus,1,3,0,0,0,0,0
kyphosus_spp.,25,0,0,0,0,0,0
bodianus_pulchellus,1,0,0,0,0,0,0
halichoeres _radiatus,3,0,0,0,0,0,0
lutjanus_jocu,22,1,0,0,0,0,0
mulloidichthys_martinicus,6,0,0,0,0,0,0
pseudopeneus_maculatus,4,0,0,0,0,0,0
lactophrys_trigonus,0,1,0,0,0,0,0
pomacanthus_paru,1,20,0,0,0,0,0
abudefduf_saxatilis,11,157,0,0,0,0,0
chromis_multilineata,1089,1528,1,0,0,0,0
sparisoma_amplum,1,1,0,0,0,0,0
sparisoma_axillare,9,5,0,0,0,0,0
sparisoma_frondosum,17,23,0,0,0,0,0
cephalopholis_fulva,134,5,0,0,0,0,0
paranthias_furcifer,0,1,0,0,0,0,0
mycteroperca_bonaci,1,0,0,0,0,0,0
eretmochelys_imbricata,0,1,0,0,1,1,1
