clients,bodianus_anthioides,pseudocheilinus_hexataenia,labroides_dimidiatus,larabicus_quadrilineatus,thalassoma_klunzingeri,thalassoma_lunare
27_5_spp,0,0,164,0,0,0
30_spp,0,0,74,0,0,0
31_spp,0,0,0,42,0,0
32_spp,0,0,20,16,0,0
33_spp,3,0,29,16,0,0
41_spp,0,0,632,68,0,0
42_spp,0,0,89,0,0,0
43_spp,18,0,250,9,0,0
45_spp,0,0,7,0,0,0
47_spp,0,0,34,49,0,0
52_spp,0,0,80,5,0,0
59_spp,0,0,0,2,0,0
60_spp,3864,842,2328,81,0,668
61_spp,1241,208,0,0,0,607
62_spp,0,0,19,6,0,0
64_spp,0,0,36,98,0,0
66_spp,0,0,56,5,0,0
75_spp,0,0,0,17,0,0
79_spp,0,0,83,13,0,0
79_5_spp,0,0,18,2,0,0
81_spp,0,0,0,9,0,0
101_spp,0,0,7,0,0,0
106_spp,0,0,1081,0,0,0
107_spp,0,0,4,0,0,0
109_spp,0,0,80,0,0,0
135_spp,97,0,30,0,0,0
153_spp,0,0,3,0,0,0
154_spp,46,0,0,0,0,0
155_spp,28,0,0,4,0,0
159_spp,108,0,339,0,0,0
160_spp,347,245,981,315,134,165
161_spp,71,271,7373,1228,85,21
163_spp,29,0,13,11,0,0
163_5_spp,24,0,0,0,0,0
165_spp,0,0,115,25,0,0
166_spp,0,0,1,0,0,0
167_spp,56,4,23,166,0,0
173_spp,109,10,0,0,9,12
177_spp,0,0,0,24,0,0
180_spp,21,1,358,108,124,42
181_spp,44,0,17,9,2,23
188_spp,0,0,2,0,0,0
196_spp,0,17,186,133,0,0
199_spp,1,0,0,0,0,0
200_spp,72,0,0,0,0,0
201_spp,0,0,62,0,0,0
204_spp,0,0,9,0,0,0
211_spp,0,0,12,0,0,0
217_spp,0,0,0,18,0,0
220_spp,0,0,201,18,0,4
223_spp,0,0,5,0,0,0
225_5_spp,0,0,16,0,0,0
226_spp,9,0,84,0,0,0
228_spp,0,0,40,0,0,0
230_spp,0,0,82,21,0,0
232_spp,0,0,26,3,0,0
234_spp,16,0,306,37,0,0
236_spp,0,0,13,0,0,0
238_spp,0,0,24,7,0,0
239_spp,0,0,1171,106,0,0
239_5_spp,0,0,29,28,0,0
243_spp,0,0,15,0,0,0
244_spp,8,0,144,57,0,3
246_spp,13,0,50,2,6,2
251_spp,0,0,10,0,0,0
254_spp,0,0,1,0,0,0
255_spp,0,0,41,0,0,0
257_spp,0,0,86,95,0,0
259_spp,0,0,255,109,0,0
260_spp,0,0,852,379,0,0
262_spp,0,6,893,321,0,0
264_spp,47,0,1921,642,2,0
265_spp,0,0,34,0,0,0
266_spp,0,0,13,0,0,0
267_spp,15,0,10,0,0,0
271_spp,0,0,323,72,1,0
273_spp,0,13,219,24,8,34
284_spp,0,0,0,2,0,0
305_spp,0,0,110,20,0,0
307_spp,0,0,13,0,0,0
315_spp,0,0,3,0,0,0
321_spp,0,0,22,0,0,0
327_spp,0,0,0,0,0,8
329_spp,0,0,0,6,0,0
