clients,abudefduf_saxatilis,acanthurus_chirurgus,elacatinus_phthirophagus,lysmata_grabhami,pomacanthus_paru,stegastes_rocasensis,stenopus_hispidus,thalassoma_noronhanum
abudefduf_saxatilis,0,0,3,0,1,0,0,18
acanthurus_chirurgus,0,0,16,1,4,2,3,104
acanthurus_coeruleus,0,0,2,0,0,2,2,14
aluterus_scriptus,0,0,0,0,0,0,0,1
apogon_americanus,0,0,0,1,0,0,0,0
carangoides_bartholomaei,0,0,1,0,0,0,0,1
cephalopholis_fulva,0,0,5,0,0,0,1,0
chaetodon_ocellatus,0,0,2,0,0,0,0,3
chromis_multilineata,0,0,2,0,0,0,0,0
eretmochelys_imbricata,2,1,0,0,0,1,0,3
ginglymostoma_cirratum,0,0,1,0,0,2,0,2
halichoeres_radiatus,0,0,0,0,0,0,0,5
holocentrus_adscensionis,0,0,3,9,2,0,3,55
lutjanus_jocu,0,0,2,1,0,0,0,0
malacanthus_plumieri,0,0,0,0,0,0,0,4
melichthys_niger,0,0,0,0,0,0,0,1
mulloidichthys_martinicus,0,0,0,0,0,0,0,2
myripristis_jacobus,0,0,1,0,0,0,0,0
sparisoma_amplum,0,0,1,0,0,0,0,11
sparisoma_axillare,0,0,0,0,0,0,0,3
sparisoma_frondosum,0,0,1,0,0,0,0,11
sparisoma_radians,0,0,0,0,0,0,0,1
stegastes_rocasensis,0,0,0,0,0,0,0,1
