clients,abudefduf_saxatilis,anisotremus_virginicus,diplodus_argenteus_argenteus,lysmata_ankeri,pomacanthus_paru
abudefduf_saxatilis,0,1,1,0,19
anisotremus_virginicus,0,0,0,0,3
cantherhines_macrocerus,0,0,0,0,4
chaetodipterus_faber,0,6,0,0,1
chaetodon_striatus,0,1,0,0,0
diplodus_argenteus,1,4,0,0,0
fistularia_tabacaria,0,0,0,0,1
gymnothorax_moringa,0,0,0,2,0
haemulon_aurolineatum,0,8,0,0,3
haemulon_steindachneri,0,0,0,0,3
kyphosus_sp.,1,0,18,0,0
mugil_sp.,0,0,2,0,0
priacanthus_arenatus,0,43,0,3,0
pseudopeneus_maculatus,0,0,0,0,5
sparisoma_frondosum,0,0,0,0,1
