clients,elacatinus_evelynae,bodianus_rufus,thalassoma_bifasciatum,pomacanthus_paru
acanthurus_bahianus,1,1,1,1
acanthurus_chirurgus,1,1,1,1
acanthurus_coeruleus,1,0,1,1
aulostomus_maculatus,1,0,0,1
cantherhines_macrocerus,1,0,0,0
chaetodon_striatus,1,0,0,0
gerres_cinereus,1,0,1,0
haemulon_flavolineatum,1,0,0,1
haemulon_carbonarium,1,1,0,0
holocentrus_adscensionis,1,0,0,0
microspathodon_chysurus,1,0,0,1
stegastes_partitus,1,0,0,0
stegastes_spp,1,0,0,0
tylosurus_crocodilus,1,0,1,0
rhinesomus_triqueter,0,0,1,0
scarus_iserti,1,0,1,0
scarus_taeniopterus,0,0,1,0
sparisoma_aurofrenatum,1,1,1,0
sparisoma_chrysopterum,1,0,1,0
sparisoma_rubripinne,0,0,0,1
sparisoma_viride,1,0,1,1
serranidae_spp,1,0,0,0
thalassoma_bifasciatum,1,0,0,0
