clients,elacatinus_pridisi,bodianus_rufus,thalassoma_noronhanum
holocentrus_adsensionis,17,0,0
myripristis_jacobus,10,39,0
sargocentron_bullisi,0,0,2
cephalopholis_fulva,114,10,0
rypticus_saponaceus,14,2,0
gymnothorax_moringa,10,2,2
heteropriacanthus_cruentatus,0,0,5
pseudupeneus_maculatus,1,1,0
chaetodon_striatus,0,0,8
holacanthus_tricolor,2,0,0
abudefduf_saxatilis,0,4,0
chromis_multilineata,1,0,2
microspathodon_chrysurus,0,0,2
stegastes_fuscus,3,0,0
bodianus_pulchellus,1,2,0
bodianus_rufus,2,0,0
sparisoma_amplum,0,3,2
acanthurus_bahianus,0,0,1
acanthurus_coeruleus,0,0,1
baliste_vetula,1,0,0
melichthys_niger,0,12,8
aluterus_scriptus,1,0,0
cantherines_macrocerus,1,0,0
diodon_holacanthus,0,0,2
sparisoma_frondosum,0,3,0
caranx_ruber,0,12,0
epinephelus_adscensionis,0,0,2
